Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
2397.441329	839	2397.441329	nan	
2398.439418	838	2398.439418	nan	
2399.437344	836	2399.437344	nan	
2400.435109	840	2400.435109	nan	
2401.432712	838	2401.432712	nan	
2402.430154	839	2402.430154	nan	
2403.427433	839	2403.427433	nan	
2404.424551	839	2404.424551	nan	
2405.421508	839	2405.421508	nan	
2406.418302	839	2406.418302	nan	
2407.414935	840	2407.414935	nan	
2408.411406	838	2408.411406	nan	
2409.407716	840	2409.407716	nan	
2410.403864	838	2410.403864	nan	
2411.399851	841	2411.399851	nan	
2412.395676	840	2412.395676	nan	
2413.391339	842	2413.391339	nan	
2414.386842	840	2414.386842	nan	
2415.382182	840	2415.382182	nan	
2416.377362	838	2416.377362	nan	
2417.37238	838	2417.37238	nan	
2418.367237	840	2418.367237	nan	
2419.361932	840	2419.361932	nan	
2420.356466	839	2420.356466	nan	
2421.350839	839	2421.350839	nan	
2422.345051	841	2422.345051	nan	
2423.339101	839	2423.339101	nan	
2424.33299	839	2424.33299	nan	
2425.326719	839	2425.326719	nan	
2426.320286	839	2426.320286	nan	
2427.313692	840	2427.313692	nan	
2428.306937	840	2428.306937	nan	
2429.300021	839	2429.300021	nan	
2430.292944	840	2430.292944	nan	
2431.285706	838	2431.285706	nan	
2432.278307	839	2432.278307	nan	
2433.270747	838	2433.270747	nan	
2434.263026	840	2434.263026	nan	
2435.255144	838	2435.255144	nan	
2436.247102	839	2436.247102	nan	
2437.238899	841	2437.238899	nan	
2438.230535	838	2438.230535	nan	
2439.22201	840	2439.22201	nan	
2440.213325	839	2440.213325	nan	
2441.204479	839	2441.204479	nan	
2442.195472	840	2442.195472	nan	
2443.186304	839	2443.186304	nan	
2444.176977	839	2444.176977	nan	
2445.167488	841	2445.167488	nan	
2446.157839	843	2446.157839	nan	
2447.148029	841	2447.148029	nan	
2448.138059	843	2448.138059	nan	
2449.127929	843	2449.127929	nan	
2450.117638	843	2450.117638	nan	
2451.107186	841	2451.107186	nan	
2452.096575	843	2452.096575	nan	
2453.085803	842	2453.085803	nan	
2454.07487	843	2454.07487	nan	
2455.063777	843	2455.063777	nan	
2456.052525	844	2456.052525	nan	
2457.041111	842	2457.041111	nan	
2458.029538	842	2458.029538	nan	
2459.017804	841	2459.017804	nan	
2460.005911	843	2460.005911	nan	
2460.993857	842	2460.993857	nan	
2461.981643	844	2461.981643	nan	
2462.969269	842	2462.969269	nan	
2463.956735	841	2463.956735	nan	
2464.944041	841	2464.944041	nan	
2465.931187	841	2465.931187	nan	
2466.918173	840	2466.918173	nan	
2467.904999	839	2467.904999	nan	
2468.891665	840	2468.891665	nan	
2469.878172	841	2469.878172	nan	
2470.864518	841	2470.864518	nan	
2471.850705	840	2471.850705	nan	
2472.836732	841	2472.836732	nan	
2473.822599	840	2473.822599	nan	
2474.808306	840	2474.808306	nan	
2475.793854	840	2475.793854	nan	
2476.779242	840	2476.779242	nan	
2477.764471	840	2477.764471	nan	
2478.749539	840	2478.749539	nan	
2479.734449	839	2479.734449	nan	
2480.719198	840	2480.719198	nan	
2481.703788	841	2481.703788	nan	
2482.688219	840	2482.688219	nan	
2483.67249	840	2483.67249	nan	
2484.656602	840	2484.656602	nan	
2485.640554	842	2485.640554	nan	
2486.624347	843	2486.624347	nan	
2487.60798	838	2487.60798	nan	
2488.591454	839	2488.591454	nan	
2489.574769	840	2489.574769	nan	
2490.557925	839	2490.557925	nan	
2491.540921	840	2491.540921	nan	
2492.523758	840	2492.523758	nan	
2493.506436	839	2493.506436	nan	
2494.488955	842	2494.488955	nan	
2495.471314	839	2495.471314	nan	
2496.453515	842	2496.453515	nan	
2497.435556	840	2497.435556	nan	
2498.417439	839	2498.417439	nan	
2499.399162	840	2499.399162	nan	
2500.380726	839	2500.380726	nan	
2501.362131	839	2501.362131	nan	
2502.343378	841	2502.343378	nan	
2503.324465	840	2503.324465	nan	
2504.305394	841	2504.305394	nan	
2505.286163	841	2505.286163	838.9661351	
2506.266774	839	2506.266774	838.9687123	
2507.247226	839	2507.247226	838.9713321	
2508.227519	840	2508.227519	838.9739955	
2509.207654	840	2509.207654	838.9767034	
2510.18763	838	2510.18763	838.9794568	
2511.167447	842	2511.167447	838.9822567	
2512.147105	839	2512.147105	838.9851042	
2513.126605	839	2513.126605	838.9880004	
2514.105946	839	2514.105946	838.9909463	
2515.085128	839	2515.085128	838.9939432	
2516.064152	840	2516.064152	838.9969921	
2517.043018	839	2517.043018	839.0000944	
2518.021725	839	2518.021725	839.0032512	
2519.000273	840	2519.000273	839.0064638	
2519.978663	839	2519.978663	839.0097336	
2520.956895	839	2520.956895	839.0130619	
2521.934968	839	2521.934968	839.0164502	
2522.912883	840	2522.912883	839.0198998	
2523.890639	839	2523.890639	839.0234122	
2524.868237	838	2524.868237	839.026989	
2525.845677	841	2525.845677	839.0306317	
2526.822959	843	2526.822959	839.0343421	
2527.800082	839	2527.800082	839.0381217	
2528.777047	839	2528.777047	839.0419722	
2529.753855	840	2529.753855	839.0458955	
2530.730503	839	2530.730503	839.0498935	
2531.706994	841	2531.706994	839.0539679	
2532.683327	840	2532.683327	839.0581208	
2533.659501	843	2533.659501	839.0623542	
2534.635518	840	2534.635518	839.0666701	
2535.611376	841	2535.611376	839.0710708	
2536.587077	840	2536.587077	839.0755584	
2537.56262	840	2537.56262	839.0801352	
2538.538004	840	2538.538004	839.0848037	
2539.513231	840	2539.513231	839.0895662	
2540.4883	838	2540.4883	839.0944254	
2541.463211	840	2541.463211	839.0993838	
2542.437964	840	2542.437964	839.1044441	
2543.41256	840	2543.41256	839.1096092	
2544.386998	840	2544.386998	839.1148819	
2545.361278	839	2545.361278	839.1202653	
2546.3354	838	2546.3354	839.1257624	
2547.309364	841	2547.309364	839.1313766	
2548.283171	840	2548.283171	839.137111	
2549.256821	841	2549.256821	839.1429692	
2550.230312	839	2550.230312	839.1489547	
2551.203647	839	2551.203647	839.1550713	
2552.176823	839	2552.176823	839.1613228	
2553.149842	842	2553.149842	839.1677131	
2554.122704	839	2554.122704	839.1742465	
2555.095408	839	2555.095408	839.1809271	
2556.067955	838	2556.067955	839.1877594	
2557.040344	840	2557.040344	839.1947481	
2558.012576	840	2558.012576	839.2018979	
2558.984651	840	2558.984651	839.2092139	
2559.956568	839	2559.956568	839.2167011	
2560.928328	841	2560.928328	839.224365	
2561.899931	839	2561.899931	839.2322111	
2562.871376	839	2562.871376	839.2402452	
2563.842664	839	2563.842664	839.2484734	
2564.813795	839	2564.813795	839.256902	
2565.784769	841	2565.784769	839.2655374	
2566.755586	839	2566.755586	839.2743866	
2567.726246	841	2567.726246	839.2834565	
2568.696748	842	2568.696748	839.2927546	
2569.667094	839	2569.667094	839.3022886	
2570.637282	840	2570.637282	839.3120664	
2571.607314	840	2571.607314	839.3220965	
2572.577189	837	2572.577189	839.3323875	
2573.546906	839	2573.546906	839.3429486	
2574.516467	839	2574.516467	839.3537892	
2575.485871	840	2575.485871	839.3649193	
2576.455118	840	2576.455118	839.3763492	
2577.424208	840	2577.424208	839.3880898	
2578.393141	841	2578.393141	839.4001524	
2579.361918	840	2579.361918	839.4125488	
2580.330538	838	2580.330538	839.4252914	
2581.299001	839	2581.299001	839.4383932	
2582.267307	840	2582.267307	839.4518677	
2583.235457	839	2583.235457	839.4657293	
2584.20345	841	2584.20345	839.4799927	
2585.171287	841	2585.171287	839.4946736	
2586.138967	842	2586.138967	839.5097884	
2587.10649	839	2587.10649	839.5253543	
2588.073857	837	2588.073857	839.5413894	
2589.041067	840	2589.041067	839.5579127	
2590.008121	839	2590.008121	839.574944	
2590.975019	840	2590.975019	839.5925043	
2591.94176	841	2591.94176	839.6106158	
2592.908344	841	2592.908344	839.6293016	
2593.874772	839	2593.874772	839.6485861	
2594.841044	840	2594.841044	839.6684951	
2595.80716	839	2595.80716	839.6890557	
