Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1923.908919	839	1923.908919	nan	
1924.984052	838	1924.984052	nan	
1926.05901	838	1926.05901	nan	
1927.133792	838	1927.133792	nan	
1928.208398	839	1928.208398	nan	
1929.28283	837	1929.28283	nan	
1930.357085	838	1930.357085	nan	
1931.431166	840	1931.431166	nan	
1932.505071	839	1932.505071	nan	
1933.578801	841	1933.578801	nan	
1934.652355	838	1934.652355	nan	
1935.725735	838	1935.725735	nan	
1936.798939	837	1936.798939	nan	
1937.871968	839	1937.871968	nan	
1938.944822	837	1938.944822	nan	
1940.017501	837	1940.017501	nan	
1941.090005	838	1941.090005	nan	
1942.162333	841	1942.162333	nan	
1943.234487	836	1943.234487	nan	
1944.306466	839	1944.306466	nan	
1945.37827	840	1945.37827	nan	
1946.449898	839	1946.449898	nan	
1947.521352	837	1947.521352	nan	
1948.592632	837	1948.592632	nan	
1949.663736	839	1949.663736	nan	
1950.734666	840	1950.734666	nan	
1951.80542	838	1951.80542	nan	
1952.876	839	1952.876	nan	
1953.946406	838	1953.946406	nan	
1955.016637	838	1955.016637	nan	
1956.086693	840	1956.086693	nan	
1957.156574	840	1957.156574	nan	
1958.226281	838	1958.226281	nan	
1959.295814	838	1959.295814	nan	
1960.365172	838	1960.365172	nan	
1961.434355	837	1961.434355	nan	
1962.503364	842	1962.503364	nan	
1963.572199	839	1963.572199	nan	
1964.640859	840	1964.640859	nan	
1965.709345	837	1965.709345	nan	
1966.777656	838	1966.777656	nan	
1967.845794	839	1967.845794	nan	
1968.913757	838	1968.913757	nan	
1969.981546	838	1969.981546	nan	
1971.04916	838	1971.04916	nan	
1972.116601	840	1972.116601	nan	
1973.183867	837	1973.183867	nan	
1974.250959	839	1974.250959	nan	
1975.317877	840	1975.317877	nan	
1976.384621	837	1976.384621	nan	
1977.451192	839	1977.451192	nan	
1978.517588	838	1978.517588	nan	
1979.58381	838	1979.58381	nan	
1980.649858	839	1980.649858	nan	
1981.715733	837	1981.715733	nan	
1982.781433	838	1982.781433	nan	
1983.84696	839	1983.84696	nan	
1984.912313	840	1984.912313	nan	
1985.977492	838	1985.977492	nan	
1987.042497	838	1987.042497	nan	
1988.107329	837	1988.107329	nan	
1989.171987	839	1989.171987	nan	
1990.236472	839	1990.236472	nan	
1991.300783	838	1991.300783	nan	
1992.36492	840	1992.36492	nan	
